year,results
2000,333
2001,456
2002,648
2003,764
2004,787
2005,1030
2006,1710
2007,1910
2008,2390
2009,2340
2010,2630
2011,3260
2012,3710
2013,4180
2014,4880
2015,5420
2016,6740
2017,6650
2018,7110
2019,6580
2020,764
